 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,,
4:30:03 AM,22-07-23,25.5,22,0.58,0.54,0.45,1.74,3.48,4.68,0.84,3.48,3.15,0.73,10.42,16.41,1.85,4.39,51.89,1.54,71.26,,,,,,
4:30:04 AM,22-07-23,25.5,22,0.58,0.54,0.41,1.75,3.56,3.52,0.84,3.9,4.46,0.71,8.9,16.03,1.82,4.43,52.38,1.57,70.3,,,,,,
4:30:04 AM,22-07-23,25.5,22,0.58,0.54,0.4,1.71,3.59,4.6,0.85,3.5,3.49,0.7,9.95,18.13,1.74,4.24,52.14,1.56,70.78,,,,,,
4:30:05 AM,22-07-23,25.5,22,0.58,0.54,0.4,1.74,3.59,4.48,0.85,3.54,3.88,0.69,9.48,16.8,1.82,4.35,52.06,1.58,70.94,,,,,,
4:30:05 AM,22-07-23,25.5,22,0.58,0.54,0.4,1.67,3.59,5.05,0.84,3.37,3.68,0.7,9.71,15.02,1.81,4.53,52.38,1.56,70.3,,,,,,
4:30:06 AM,22-07-23,25.5,22,0.58,0.54,0.41,1.74,3.57,4.8,0.84,3.44,3.71,0.75,9.67,18.34,1.87,4.22,52.63,1.57,69.82,,,,,,
4:30:06 AM,22-07-23,25.4,22,0.58,0.54,0.39,1.66,3.62,3.79,0.82,3.79,3.68,0.71,9.71,16.51,1.8,4.38,53.54,1.56,68.11,,,,,,
4:30:07 AM,22-07-23,25.4,22,0.58,0.54,0.34,1.75,3.77,4.29,0.82,3.6,3.49,0.69,9.95,14.24,1.76,4.62,52.71,1.55,69.66,,,,,,
4:30:07 AM,22-07-23,25.4,22,0.58,0.54,0.36,1.69,3.69,4.37,0.85,3.58,3.85,0.71,9.51,15.38,1.84,4.49,52.63,1.52,69.82,,,,,,
4:30:08 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.72,3.58,4.07,0.74,3.68,3.52,0.72,9.91,14.76,1.84,4.56,52.22,1.55,70.62,,,,,,
4:30:08 AM,22-07-23,25.4,22,0.58,0.54,0.38,1.7,3.63,4.41,0.85,3.57,3.81,0.69,9.55,14.76,1.82,4.56,52.63,1.56,69.82,,,,,,
4:30:09 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.69,3.58,4.22,0.83,3.63,3.18,0.63,10.37,15.66,1.82,4.47,52.79,1.57,69.5,,,,,,
4:30:09 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.71,3.58,4.48,0.84,3.54,3.18,0.7,10.37,15.2,1.82,4.51,52.06,1.55,70.94,,,,,,
4:30:10 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.69,3.56,4.56,0.8,3.52,3.12,0.7,10.46,18.02,1.82,4.25,52.38,1.56,70.3,,,,,,
4:30:11 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.74,3.56,4.29,0.82,3.6,3.24,0.69,10.28,15.94,1.81,4.44,52.79,1.58,69.5,,,,,,
4:30:11 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.73,3.59,4.29,0.84,3.6,2.78,0.72,11.02,15.94,1.82,4.44,52.38,1.56,70.3,,,,,,
4:30:12 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.74,3.57,4.33,0.84,3.59,3.12,0.71,10.46,15.84,1.83,4.45,52.88,1.58,69.35,,,,,,
4:30:12 AM,22-07-23,25.4,22,0.58,0.54,0.44,1.73,3.49,3.65,0.83,3.85,3.49,0.7,9.95,16.03,1.81,4.43,52.71,1.56,69.66,,,,,,
4:30:13 AM,22-07-23,25.4,22,0.58,0.54,0.46,1.74,3.45,4.6,0.84,3.5,4.23,0.71,9.11,17,1.82,4.34,52.55,1.58,69.98,,,,,,
4:30:13 AM,22-07-23,25.4,22,0.58,0.54,0.42,1.74,3.54,3.89,0.84,3.75,3.21,0.71,10.33,16.03,1.77,4.43,52.79,1.64,69.5,,,,,,
4:30:14 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.74,3.56,4.22,0.93,3.63,3.78,0.67,9.59,16.9,1.69,4.35,52.63,1.62,69.82,,,,,,
4:30:14 AM,22-07-23,25.4,22,0.58,0.54,0.45,1.94,3.48,3.89,0.83,3.75,3.68,0.81,9.71,15.84,1.82,4.45,52.79,1.6,69.5,,,,,,
4:30:15 AM,22-07-23,25.4,22,0.58,0.54,0.42,1.83,3.54,4.18,0.83,3.64,3.99,0.7,9.36,17.4,1.83,4.3,53.12,1.57,68.88,,,,,,
4:30:15 AM,22-07-23,25.4,22,0.58,0.55,0.49,1.75,3.39,4.07,0.87,3.68,4.2,0.87,9.15,16.03,1.82,4.43,52.3,1.58,70.46,,,,,,
4:30:16 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.74,3.6,4.03,0.84,3.7,3.45,0.71,9.99,15.75,1.83,4.46,53.12,1.64,68.88,,,,,,
4:30:16 AM,22-07-23,25.4,22,0.58,0.55,0.46,1.69,3.45,4.56,0.86,3.52,3,0.66,10.64,15.2,1.84,4.51,52.79,1.61,69.5,,,,,,
4:30:17 AM,22-07-23,25.4,23,0.58,0.55,0.41,1.74,3.56,4.25,0.89,3.62,3.61,0.69,9.79,15.84,1.79,4.45,52.47,1.66,70.14,,,,,,
4:30:17 AM,22-07-23,25.4,23,0.58,0.56,0.44,1.75,3.5,4.03,0.85,3.7,3.81,0.93,9.55,15.94,1.81,4.44,52.14,1.57,70.78,,,,,,
4:30:18 AM,22-07-23,25.4,23,0.58,0.56,0.42,1.77,3.53,4.92,0.82,3.41,4.69,0.71,8.71,16.41,1.82,4.39,51.89,1.57,71.26,,,,,,
4:30:18 AM,22-07-23,25.4,23,0.58,0.56,0.42,1.74,3.54,4.14,0.8,3.66,3.71,0.65,9.67,15.75,1.81,4.46,51.89,1.6,71.26,,,,,,
4:30:19 AM,22-07-23,25.4,23,0.58,0.56,0.4,1.74,3.59,4.37,0.85,3.58,4.16,0.74,9.18,15.38,1.86,4.49,52.55,1.57,69.98,,,,,,
4:30:20 AM,22-07-23,25.4,23,0.58,0.56,0.41,1.73,3.56,4.8,0.83,3.44,4.27,0.71,9.08,16.12,1.81,4.42,52.06,1.59,70.94,,,,,,
4:30:20 AM,22-07-23,25.4,23,0.58,0.56,0.41,1.71,3.56,4.29,0.8,3.6,4.23,0.71,9.11,16.8,1.76,4.35,52.47,1.57,70.14,,,,,,
4:30:21 AM,22-07-23,25.4,23,0.58,0.56,0.44,1.74,3.49,4.6,0.87,3.5,3.78,0.65,9.59,15.94,1.82,4.44,52.63,1.58,69.82,,,,,,
4:30:21 AM,22-07-23,25.4,23,0.58,0.56,0.36,1.75,3.69,4.6,0.84,3.5,4.49,0.69,8.87,16.31,1.83,4.4,52.14,1.58,70.78,,,,,,
4:30:22 AM,22-07-23,25.4,23,0.58,0.56,0.46,1.79,3.45,3.72,0.83,3.82,3.49,0.71,9.95,16.12,1.85,4.42,52.63,1.57,69.82,,,,,,
4:30:22 AM,22-07-23,25.4,23,0.58,0.56,0.41,1.74,3.57,4.18,0.84,3.64,3.24,0.71,10.28,16.03,1.87,4.43,52.96,1.63,69.19,,,,,,
4:30:23 AM,22-07-23,25.4,23,0.58,0.56,0.44,1.75,3.49,4.03,0.85,3.7,2.83,0.68,10.92,16.22,1.82,4.41,52.71,1.57,69.66,,,,,,
4:30:23 AM,22-07-23,25.4,23,0.58,0.56,0.41,1.73,3.56,4.41,0.83,3.57,3.68,0.7,9.71,15.84,1.84,4.45,52.55,1.54,69.98,,,,,,
4:30:24 AM,22-07-23,25.4,23,0.58,0.56,0.41,1.65,3.56,3.79,0.8,3.79,3.61,0.55,9.79,16.12,1.82,4.42,52.63,1.56,69.82,,,,,,
4:30:24 AM,22-07-23,25.4,23,0.58,0.56,0.36,1.74,3.71,4.37,0.79,3.58,3.71,0.7,9.67,17.71,1.8,4.27,52.96,1.56,69.19,,,,,,
4:30:25 AM,22-07-23,25.4,23,0.58,0.56,0.34,1.73,3.75,4.84,0.81,3.43,3.61,0.69,9.79,16.9,1.8,4.35,53.7,1.59,67.8,,,,,,
4:30:25 AM,22-07-23,25.4,23,0.58,0.56,0.38,1.74,3.65,4.37,0.82,3.58,3.68,0.68,9.71,16.22,1.74,4.41,52.88,1.56,69.35,,,,,,
4:30:26 AM,22-07-23,25.4,23,0.58,0.56,0.39,1.74,3.63,4.68,0.85,3.48,3.75,0.66,9.63,14.5,1.88,4.59,53.95,1.57,67.35,,,,,,
4:30:26 AM,22-07-23,25.4,23,0.58,0.55,0.4,1.73,3.59,5.01,0.87,3.39,4.2,0.74,9.15,18.13,1.81,4.24,52.63,1.53,69.82,,,,,,
4:30:27 AM,22-07-23,25.4,23,0.58,0.56,0.4,1.75,3.59,4.29,0.85,3.6,3.71,0.7,9.67,15.94,1.82,4.44,52.55,1.57,69.98,,,,,,
4:30:27 AM,22-07-23,25.4,24,0.58,0.56,0.43,1.73,3.52,4.52,0.83,3.53,4.8,0.67,8.61,17.5,1.82,4.29,51.49,1.57,72.08,,,,,,
4:30:28 AM,22-07-23,25.4,24,0.58,0.56,0.42,1.75,3.55,3.79,0.87,3.79,3.81,0.7,9.55,16.22,1.83,4.41,51.57,1.54,71.92,,,,,,
4:30:29 AM,22-07-23,25.4,24,0.58,0.56,0.44,1.72,3.49,3.65,0.83,3.85,3.92,0.7,9.44,17.5,1.85,4.29,52.55,1.58,69.98,,,,,,
4:30:29 AM,22-07-23,25.4,24,0.58,0.56,0.44,1.73,3.5,4.14,0.83,3.66,3.45,0.71,9.99,16.41,1.79,4.39,51.81,1.58,71.43,,,,,,
4:30:30 AM,22-07-23,25.4,24,0.58,0.56,0.4,1.73,3.59,4.41,0.84,3.57,3.12,0.7,10.46,15.75,1.83,4.46,52.14,1.57,70.78,,,,,,
4:30:30 AM,22-07-23,25.4,24,0.58,0.56,0.42,1.73,3.53,4.52,0.83,3.53,3.39,0.66,10.07,15.84,1.83,4.45,53.12,1.56,68.88,,,,,,
4:30:31 AM,22-07-23,25.4,24,0.58,0.56,0.4,1.73,3.6,4.6,0.83,3.5,3.55,0.71,9.87,15.56,1.83,4.48,52.63,1.56,69.82,,,,,,
4:30:31 AM,22-07-23,25.4,24,0.58,0.56,0.41,1.74,3.56,4.18,0.85,3.64,3.88,0.69,9.48,17,1.85,4.34,52.88,1.57,69.35,,,,,,
4:30:32 AM,22-07-23,25.4,24,0.58,0.55,0.41,1.74,3.57,4.64,0.78,3.49,3.99,0.7,9.36,16.12,1.82,4.42,52.47,1.57,70.14,,,,,,
4:30:32 AM,22-07-23,25.4,24,0.58,0.55,0.42,1.73,3.53,4.37,0.81,3.58,3.92,0.63,9.44,15.84,1.84,4.45,51.73,1.6,71.59,,,,,,
4:30:33 AM,22-07-23,25.4,24,0.58,0.55,0.41,1.74,3.56,4.22,0.91,3.63,3.58,0.78,9.83,16.31,1.83,4.4,52.79,1.65,69.5,,,,,,
4:30:33 AM,22-07-23,25.4,24,0.58,0.55,0.4,1.74,3.58,4.37,0.77,3.58,2.83,0.72,10.92,16.22,1.82,4.41,52.47,1.56,70.14,,,,,,
4:30:34 AM,22-07-23,25.4,24,0.58,0.55,0.41,1.66,3.57,4.64,0.78,3.49,3.65,0.7,9.75,17.3,1.8,4.31,51.89,1.56,71.26,,,,,,
4:30:34 AM,22-07-23,25.4,24,0.58,0.55,0.33,1.73,3.8,4.25,0.75,3.62,3.71,0.69,9.67,16.51,1.79,4.38,52.55,1.55,69.98,,,,,,
4:30:35 AM,22-07-23,25.4,24,0.58,0.56,0.4,1.73,3.58,5.18,0.81,3.34,4.06,0.65,9.29,17.4,1.85,4.3,52.47,1.56,70.14,,,,,,
4:30:35 AM,22-07-23,25.4,24,0.58,0.55,0.4,1.72,3.59,5.14,0.87,3.35,4.2,0.7,9.15,16.12,1.81,4.42,51.73,1.57,71.59,,,,,,
4:30:36 AM,22-07-23,25.4,24,0.58,0.55,0.42,1.73,3.54,4.22,0.85,3.63,3.68,0.75,9.71,16.12,1.76,4.42,52.79,1.57,69.5,,,,,,
4:30:36 AM,22-07-23,25.4,24,0.58,0.55,0.42,1.74,3.54,4,0.83,3.71,5.09,0.71,8.39,16.22,1.84,4.41,52.55,1.58,69.98,,,,,,
4:30:37 AM,22-07-23,25.4,24,0.58,0.56,0.48,1.77,3.41,3.72,0.85,3.82,3.71,0.7,9.67,16.12,1.77,4.42,51.89,1.58,71.26,,,,,,
4:30:37 AM,22-07-23,25.4,24,0.58,0.55,0.42,1.74,3.55,4.33,0.84,3.59,3.58,0.71,9.83,16.12,1.83,4.42,52.79,1.64,69.5,,,,,,
4:30:38 AM,22-07-23,25.4,24,0.58,0.56,0.4,1.74,3.58,4.56,0.79,3.52,3.75,0.65,9.63,14.32,1.82,4.61,52.47,1.57,70.14,,,,,,
4:30:39 AM,22-07-23,25.4,24,0.58,0.55,0.4,1.7,3.59,4.22,0.82,3.63,3.71,0.66,9.67,16.51,1.86,4.38,53.62,1.52,67.96,,,,,,
4:30:39 AM,22-07-23,25.4,24,0.58,0.55,0.39,1.76,3.61,4.37,0.84,3.58,3.85,0.7,9.51,17.2,1.85,4.32,52.55,1.57,69.98,,,,,,
4:30:40 AM,22-07-23,25.4,24,0.58,0.56,0.4,1.74,3.59,5.22,0.84,3.33,3.88,0.65,9.48,16.41,1.81,4.39,52.38,1.56,70.3,,,,,,
4:30:40 AM,22-07-23,25.4,24,0.58,0.55,0.37,1.8,3.66,4.07,0.83,3.68,4.23,0.66,9.11,15.56,1.82,4.48,52.22,1.57,70.62,,,,,,
4:30:41 AM,22-07-23,25.4,24,0.58,0.54,0.41,1.74,3.57,3.82,1.05,3.78,3.55,0.78,9.87,16.03,1.81,4.43,52.38,1.57,70.3,,,,,,
4:30:41 AM,22-07-23,25.4,24,0.58,0.54,0.4,1.75,3.58,4.11,0.84,3.67,3.33,0.72,10.16,16.9,1.87,4.35,52.47,1.62,70.14,,,,,,
4:30:42 AM,22-07-23,25.4,24,0.58,0.55,0.39,1.74,3.63,4,1.01,3.71,3.85,0.72,9.51,16.03,1.79,4.43,52.06,1.61,70.94,,,,,,
4:30:42 AM,22-07-23,25.5,24,0.58,0.55,0.4,1.74,3.6,4.07,0.93,3.68,3.85,0.78,9.51,16.03,1.78,4.43,52.38,1.63,70.3,,,,,,
4:30:43 AM,22-07-23,25.5,24,0.58,0.54,0.41,1.73,3.56,4.37,0.84,3.58,3.75,0.72,9.63,15.94,1.77,4.44,52.47,1.66,70.14,,,,,,
4:30:43 AM,22-07-23,25.5,24,0.58,0.55,0.42,1.74,3.53,3.3,0.93,4.01,3.71,0.71,9.67,16.03,1.77,4.43,53.04,1.64,69.03,,,,,,
4:30:44 AM,22-07-23,25.5,24,0.58,0.54,0.42,1.74,3.54,4.68,0.86,3.48,3.68,0.64,9.71,17.2,1.83,4.32,52.79,1.56,69.5,,,,,,
4:30:44 AM,22-07-23,25.5,24,0.58,0.54,0.36,1.71,3.7,4.48,0.81,3.54,4.31,0.7,9.04,16.03,1.8,4.43,52.88,1.54,69.35,,,,,,
4:30:45 AM,22-07-23,25.5,24,0.58,0.54,0.41,1.73,3.56,4.64,0.84,3.49,3.65,0.7,9.75,17.81,1.85,4.26,52.47,1.56,70.14,,,,,,
4:30:45 AM,22-07-23,25.5,24,0.58,0.55,0.4,1.74,3.59,5.9,0.86,3.17,3.81,0.69,9.55,15.84,1.83,4.45,51.97,1.55,71.1,,,,,,
4:30:46 AM,22-07-23,25.5,24,0.58,0.55,0.42,1.74,3.54,4.37,0.84,3.58,4.69,0.72,8.71,15.84,1.81,4.45,51.57,1.55,71.92,,,,,,
4:30:46 AM,22-07-23,25.5,23,0.58,0.55,0.4,1.73,3.59,4.44,0.83,3.55,4.77,0.7,8.64,16.8,1.78,4.35,50.35,1.57,74.45,,,,,,
4:30:47 AM,22-07-23,25.5,23,0.58,0.54,0.41,1.73,3.56,4.14,0.85,3.66,4.09,0.71,9.25,16.7,1.82,4.36,52.14,1.57,70.78,,,,,,
4:30:48 AM,22-07-23,25.5,23,0.58,0.55,0.42,1.83,3.54,3.79,0.85,3.79,3.3,0.78,10.2,16.7,1.82,4.36,52.3,1.57,70.46,,,,,,
4:30:58 AM,22-07-23,25.5,23,0.58,DATA,4:30:58 AM,22-07-23,25.5,23,0.58,0.54,0.4,1.74,3.59,4.18,0.86,3.64,3.92,0.7,9.44,16.12,1.81,4.42,52.47,1.57,70.14
4:30:58 AM,22-07-23,25.5,23,0.58,0.55,0.4,1.74,3.59,4.97,0.93,3.4,3.21,0.7,10.33,15.94,1.75,4.44,52.38,1.64,70.3,,,,,,
4:30:59 AM,22-07-23,25.5,23,0.58,0.54,0.42,1.73,3.55,4,0.93,3.71,3.52,0.71,9.91,16.6,1.8,4.37,53.04,1.64,69.03,,,,,,
4:30:59 AM,22-07-23,25.5,23,0.58,0.54,0.44,1.73,3.49,4.18,0.84,3.64,3.58,0.66,9.83,15.38,1.83,4.49,52.22,1.57,70.62,,,,,,
4:31:00 AM,22-07-23,25.5,23,0.58,0.54,0.39,1.74,3.62,4.44,0.82,3.55,3.06,0.68,10.55,16.22,1.84,4.41,54.45,1.56,66.45,,,,,,
4:31:00 AM,22-07-23,25.5,23,0.58,0.54,0.41,1.74,3.57,4.44,0.81,3.55,4.02,0.74,9.33,15.94,1.84,4.44,52.63,1.57,69.82,,,,,,
4:31:01 AM,22-07-23,25.5,23,0.58,0.54,0.41,1.75,3.56,5.27,0.84,3.32,3.52,0.66,9.91,15.84,1.78,4.45,52.79,1.55,69.5,,,,,,
4:31:01 AM,22-07-23,25.6,23,0.58,0.54,0.42,1.73,3.54,4.52,0.83,3.53,3.3,0.7,10.2,16.8,1.82,4.35,52.06,1.55,70.94,,,,,,
4:31:02 AM,22-07-23,25.6,23,0.58,0.54,0.41,1.73,3.56,4.29,0.86,3.6,4.8,0.75,8.61,15.66,1.8,4.47,51.89,1.57,71.26,,,,,,
4:31:02 AM,22-07-23,25.6,23,0.58,0.54,0.39,1.82,3.62,3.06,0.78,4.13,3.75,0.93,9.63,16.12,1.81,4.42,52.63,1.57,69.82,,,,,,
4:31:03 AM,22-07-23,25.6,23,0.58,0.55,0.37,1.73,3.66,4.48,0.86,3.54,3.21,0.71,10.33,15.84,1.73,4.45,52.3,1.64,70.46,,,,,,
4:31:03 AM,22-07-23,25.6,23,0.58,0.54,0.38,1.72,3.64,4.52,0.82,3.53,3.18,0.68,10.37,14.15,1.83,4.63,52.47,1.53,70.14,,,,,,
4:31:04 AM,22-07-23,25.6,23,0.58,0.54,0.37,1.76,3.67,4.44,0.78,3.55,3.95,0.7,9.4,15.66,1.82,4.47,52.22,1.56,70.62,,,,,,
4:31:04 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.73,3.59,4.14,0.81,3.66,3.81,0.73,9.55,16.12,1.83,4.42,53.29,1.56,68.57,,,,,,
4:31:05 AM,22-07-23,25.6,23,0.58,0.54,0.39,1.73,3.63,4.76,0.86,3.46,4.23,0.7,9.11,16.51,1.8,4.38,54.2,1.56,66.9,,,,,,
4:31:05 AM,22-07-23,25.6,23,0.58,0.54,0.36,1.73,3.69,5.22,0.87,3.33,3.71,0.69,9.67,16.51,1.81,4.38,53.12,1.56,68.88,,,,,,
4:31:06 AM,22-07-23,25.6,23,0.58,0.54,0.41,1.73,3.56,4.52,0.83,3.53,4.09,0.7,9.25,17.2,1.86,4.32,50.92,1.57,73.25,,,,,,
4:31:07 AM,22-07-23,25.6,23,0.58,0.54,0.37,1.73,3.68,3.69,0.84,3.83,5.47,0.7,8.12,15.2,1.81,4.51,52.71,1.53,69.66,,,,,,
4:31:07 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.71,3.59,4.07,0.83,3.68,3.27,0.7,10.24,17.4,1.82,4.3,52.47,1.56,70.14,,,,,,
4:31:08 AM,22-07-23,25.6,23,0.58,0.54,0.39,1.66,3.61,4.48,0.78,3.54,3.88,0.65,9.48,16.6,1.89,4.37,54.87,1.52,65.72,,,,,,
4:31:08 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.73,3.59,4.03,0.85,3.7,3.3,0.68,10.2,15.94,1.81,4.44,53.54,1.56,68.11,,,,,,
4:31:09 AM,22-07-23,25.6,23,0.58,0.54,0.41,1.74,3.56,4.52,0.88,3.53,4.23,0.71,9.11,15.94,1.81,4.44,51.57,1.58,71.92,,,,,,
4:31:09 AM,22-07-23,25.6,23,0.58,0.54,0.41,1.78,3.56,3.93,0.85,3.74,3.78,0.82,9.59,16.9,1.82,4.35,51.73,1.57,71.59,,,,,,
4:31:10 AM,22-07-23,25.6,22,0.58,0.55,0.41,1.73,3.56,4.07,0.85,3.68,3.18,0.71,10.37,14.76,1.83,4.56,52.3,1.53,70.46,,,,,,
4:31:10 AM,22-07-23,25.6,22,0.58,0.54,0.39,1.7,3.63,4.64,0.78,3.49,3.42,0.65,10.03,16.31,1.83,4.4,52.55,1.57,69.98,,,,,,
4:31:11 AM,22-07-23,25.6,22,0.58,0.54,0.4,1.69,3.59,4.22,0.79,3.63,3.68,0.64,9.71,16.7,1.87,4.36,52.47,1.57,70.14,,,,,,
4:31:11 AM,22-07-23,25.6,22,0.58,0.54,0.42,1.73,3.55,4.44,0.77,3.55,4.16,0.7,9.18,13.82,1.81,4.67,51.49,1.57,72.08,,,,,,
4:31:12 AM,22-07-23,25.6,22,0.58,0.55,0.4,1.74,3.58,4.88,0.83,3.42,4.8,0.73,8.61,15.47,1.83,4.49,51.65,1.58,71.75,,,,,,
4:31:12 AM,22-07-23,25.6,22,0.58,0.55,0.42,1.87,3.53,4.33,0.83,3.59,4.31,0.7,9.04,15.84,1.85,4.45,52.71,1.58,69.66,,,,,,
4:31:13 AM,22-07-23,25.6,22,0.58,0.54,0.43,1.74,3.52,4.03,0.79,3.7,3.45,0.71,9.99,16.12,1.84,4.42,52.79,1.57,69.5,,,,,,
4:31:13 AM,22-07-23,25.6,22,0.58,0.54,0.4,1.72,3.58,4.44,0.8,3.55,3.81,0.7,9.55,16.7,1.89,4.36,53.29,1.56,68.57,,,,,,
4:31:14 AM,22-07-23,25.6,23,0.58,0.55,0.4,1.73,3.59,4.6,0.84,3.5,3.65,0.71,9.75,16.9,1.82,4.35,52.88,1.57,69.35,,,,,,
4:31:14 AM,22-07-23,25.6,23,0.58,0.55,0.43,1.73,3.52,5.27,0.83,3.32,5.05,0.7,8.42,14.93,1.82,4.54,52.47,1.56,70.14,,,,,,
4:31:15 AM,22-07-23,25.6,23,0.58,0.55,0.37,1.74,3.68,4.52,0.84,3.53,4.49,0.74,8.87,15.94,1.85,4.44,51.57,1.57,71.92,,,,,,
4:31:15 AM,22-07-23,25.6,23,0.58,0.54,0.37,1.73,3.68,3.46,0.89,3.93,3.39,0.71,10.07,16.22,1.72,4.41,52.3,1.68,70.46,,,,,,
4:31:16 AM,22-07-23,25.6,23,0.58,0.54,0.45,1.73,3.48,3.75,0.83,3.8,3.36,0.7,10.11,15.94,1.82,4.44,52.38,1.56,70.3,,,,,,
4:31:17 AM,22-07-23,25.6,23,0.58,0.54,0.39,1.74,3.62,4.52,0.89,3.53,3.81,0.66,9.55,17.4,1.84,4.3,52.96,1.54,69.19,,,,,,
4:31:17 AM,22-07-23,25.6,23,0.58,0.54,0.38,1.71,3.64,4.44,0.83,3.55,3.65,0.66,9.75,16.12,1.86,4.42,52.63,1.56,69.82,,,,,,
4:31:18 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.74,3.58,4.11,0.76,3.67,3.65,0.67,9.75,15.84,1.87,4.45,51.97,1.56,71.1,,,,,,
4:31:18 AM,22-07-23,25.6,23,0.58,0.54,0.39,1.73,3.61,5.44,0.83,3.27,3.68,0.7,9.71,15.66,1.82,4.47,51.81,1.57,71.43,,,,,,
4:31:19 AM,22-07-23,25.6,23,0.58,0.55,0.4,1.75,3.58,4,0.83,3.71,3.95,0.68,9.4,16.51,1.81,4.38,52.47,1.59,70.14,,,,,,
4:31:19 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.74,3.59,4.64,0.89,3.49,3.45,0.72,9.99,16.6,1.74,4.37,52.38,1.64,70.3,,,,,,
4:31:20 AM,22-07-23,25.6,23,0.58,0.54,0.42,1.73,3.55,4.68,0.83,3.48,3.42,0.71,10.03,15.75,1.82,4.46,51.57,1.57,71.92,,,,,,
4:31:20 AM,22-07-23,25.6,23,0.58,0.54,0.4,1.74,3.58,3.89,0.83,3.75,3.42,0.7,10.03,16.03,1.82,4.43,53.12,1.56,68.88,,,,,,
4:31:21 AM,22-07-23,25.6,23,0.58,0.54,0.37,1.74,3.67,4.44,0.87,3.55,3.78,0.66,9.59,16.03,1.84,4.43,52.47,1.52,70.14,,,,,,
